Fragetext,Antwort,Sprache,Sentiment,Zahlenwert
Das ist der Fragetext 60,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 61,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 62,,unknown,not analyzed,
Das ist der Fragetext 63,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 64,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 65,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 66,,unknown,not analyzed,
Das ist der Fragetext 67,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 68,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 69,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 70,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 71,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 72,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 73,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 74,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 75,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 76,,unknown,not analyzed,
Das ist der Fragetext 77,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 78,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 79,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 80,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 81,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 82,,unknown,not analyzed,
Das ist der Fragetext 83,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 84,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 85,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 86,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 87,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 88,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 89,,unknown,not analyzed,
Das ist der Fragetext 90,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 91,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 92,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 93,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 94,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 95,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 96,,unknown,not analyzed,
Das ist der Fragetext 97,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 98,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 99,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 100,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 101,,unknown,not analyzed,
Das ist der Fragetext 102,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 103,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 104,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 105,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 106,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 107,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 108,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 109,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 110,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 111,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 112,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 113,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 114,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 115,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 116,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 117,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 118,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 119,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 120,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 121,,unknown,not analyzed,
Das ist der Fragetext 122,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 123,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 124,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 125,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 126,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 127,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 128,,unknown,not analyzed,
Das ist der Fragetext 129,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 130,,unknown,not analyzed,
Das ist der Fragetext 131,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 132,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 133,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 134,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 135,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 136,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 137,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 138,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 139,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 140,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 141,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 142,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 143,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 144,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 145,,unknown,not analyzed,
Das ist der Fragetext 146,,unknown,not analyzed,
Das ist der Fragetext 147,,unknown,not analyzed,
Das ist der Fragetext 148,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 149,,unknown,not analyzed,
Das ist der Fragetext 150,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 151,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 152,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 153,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 154,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 155,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 156,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 157,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 158,,unknown,not analyzed,
Das ist der Fragetext 159,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 160,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 161,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 162,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 163,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 164,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 165,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 166,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 167,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 168,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 169,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 170,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 171,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 172,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 173,,unknown,not analyzed,
Das ist der Fragetext 174,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 175,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 176,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 177,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 178,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 179,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 180,,unknown,not analyzed,
Das ist der Fragetext 181,,unknown,not analyzed,
Das ist der Fragetext 182,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 183,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 184,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 185,,unknown,not analyzed,
Das ist der Fragetext 186,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 187,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 188,,unknown,not analyzed,
Das ist der Fragetext 189,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 190,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 191,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 192,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 193,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 194,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 195,,unknown,not analyzed,
Das ist der Fragetext 196,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 197,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 198,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 199,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 200,,unknown,not analyzed,
Das ist der Fragetext 201,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 202,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 203,,unknown,not analyzed,
Das ist der Fragetext 204,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 205,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 206,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 207,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 208,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 209,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 210,,unknown,not analyzed,
Das ist der Fragetext 211,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 212,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 213,,unknown,not analyzed,
Das ist der Fragetext 214,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 215,,unknown,not analyzed,
Das ist der Fragetext 216,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 217,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 218,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 219,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 220,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 221,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 222,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 223,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 224,,unknown,not analyzed,
Das ist der Fragetext 225,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 226,,unknown,not analyzed,
Das ist der Fragetext 227,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 228,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 229,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 230,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 231,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 232,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 233,,unknown,not analyzed,
Das ist der Fragetext 234,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 235,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 236,,unknown,not analyzed,
Das ist der Fragetext 237,,unknown,not analyzed,
Das ist der Fragetext 238,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 239,,unknown,not analyzed,
Das ist der Fragetext 240,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 241,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 242,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 243,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 244,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 245,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 246,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 247,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 248,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 249,,unknown,not analyzed,
Das ist der Fragetext 250,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 251,,unknown,not analyzed,
Das ist der Fragetext 252,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 253,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 254,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 255,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 256,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 257,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 258,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 259,,unknown,not analyzed,
Das ist der Fragetext 260,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 261,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 262,,unknown,not analyzed,
Das ist der Fragetext 263,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 264,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 265,,unknown,not analyzed,
Das ist der Fragetext 266,,unknown,not analyzed,
Das ist der Fragetext 267,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 268,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 269,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 270,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 271,,unknown,not analyzed,
Das ist der Fragetext 272,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 273,,unknown,not analyzed,
Das ist der Fragetext 274,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 275,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 276,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 277,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 278,,unknown,not analyzed,
Das ist der Fragetext 279,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 280,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 281,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 282,,unknown,not analyzed,
Das ist der Fragetext 283,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 284,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 285,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 286,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 287,,unknown,not analyzed,
Das ist der Fragetext 288,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 289,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 290,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 291,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 292,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 293,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 294,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 295,,unknown,not analyzed,
Das ist der Fragetext 296,,unknown,not analyzed,
Das ist der Fragetext 297,,unknown,not analyzed,
Das ist der Fragetext 298,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 299,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 300,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 301,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 302,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 303,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 304,,unknown,not analyzed,
Das ist der Fragetext 305,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 306,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 307,,unknown,not analyzed,
Das ist der Fragetext 308,,unknown,not analyzed,
Das ist der Fragetext 309,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 310,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 311,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 312,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 313,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 314,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 315,,unknown,not analyzed,
Das ist der Fragetext 316,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 317,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 318,,unknown,not analyzed,
Das ist der Fragetext 319,,unknown,not analyzed,
Das ist der Fragetext 320,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 321,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 322,,unknown,not analyzed,
Das ist der Fragetext 323,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 324,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 325,,unknown,not analyzed,
Das ist der Fragetext 326,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 327,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 328,,unknown,not analyzed,
Das ist der Fragetext 329,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 330,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 331,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 332,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 333,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 334,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 335,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 336,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 337,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 338,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 339,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 340,,unknown,not analyzed,
Das ist der Fragetext 341,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 342,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 343,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 344,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 345,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 346,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 347,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 348,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 349,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 350,,unknown,not analyzed,
Das ist der Fragetext 351,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 352,,unknown,not analyzed,
Das ist der Fragetext 353,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 354,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 355,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 356,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 357,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 358,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 359,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 360,,unknown,not analyzed,
Das ist der Fragetext 361,,unknown,not analyzed,
Das ist der Fragetext 362,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 363,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 364,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 365,,unknown,not analyzed,
Das ist der Fragetext 366,,unknown,not analyzed,
Das ist der Fragetext 367,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 368,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 369,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 370,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 371,,unknown,not analyzed,
Das ist der Fragetext 372,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 373,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 374,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 375,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 376,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 377,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 378,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 379,,unknown,not analyzed,
Das ist der Fragetext 380,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 381,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 382,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 383,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 384,,unknown,not analyzed,
Das ist der Fragetext 385,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 386,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 387,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 388,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 389,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 390,,unknown,not analyzed,
Das ist der Fragetext 391,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 392,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 393,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 394,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 395,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 396,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 397,,unknown,not analyzed,
Das ist der Fragetext 398,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 399,,unknown,not analyzed,
