RLVKEY;SEMESTER;TYP;STUNDEN;CREDITS;LV_STATUS_NR;LV_STATUS;KOMPONENTEN_TYP;FRAGE_TYP;FRAGETEXT;OPTIONEN;ANTWORT;OPTIONNR;FREITEXT
974e077c94dfc81;16S;VC;1.0;3.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 105;n/a;;-2;gut strukturierte LV
959353896063576;20W;VC;1.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 106;n/a;positiv;-2;
a53e6669754588d;16S;VO;1.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 107;n/a;neutral;-2;auf Studierende eingegangen
ca76fca5fb653f5;20W;VO;1.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 108;n/a;neutral;-2;auf Studierende eingegangen
974e077c94dfc81;19S;UE;1.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 109;n/a;negativ;-2;
277f6a00a09fc6d;17S;PS;2.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 110;n/a;positiv;-2;gut strukturierte LV
974e077c94dfc81;20W;UE;1.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 111;n/a;neutral;-1;sehr interessante Themen
a53e6669754588d;19S;UE;1.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 112;n/a;;-2;sympathischer LV-Leiter
a53e6669754588d;18W;VO;2.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 113;n/a;neutral;-2;gut strukturierte LV
974e077c94dfc81;20W;VC;1.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 114;n/a;neutral;-2;sehr interessante Themen
a53e6669754588d;19S;VC;1.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 115;n/a;positiv;-2;sympathischer LV-Leiter
a53e6669754588d;19S;VC;1.0;3.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 116;n/a;positiv;-2;sympathischer LV-Leiter
a53e6669754588d;16S;UE;2.0;3.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 117;n/a;negativ;-1;auf Studierende eingegangen
974e077c94dfc81;17S;VC;1.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 118;n/a;negativ;-1;sehr interessante Themen
a53e6669754588d;17S;VC;2.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 119;n/a;neutral;-1;sehr interessante Themen
ca76fca5fb653f5;19S;VO;2.0;3.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 120;n/a;negativ;-1;auf Studierende eingegangen
974e077c94dfc81;16S;UE;1.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 121;n/a;neutral;-1;auf Studierende eingegangen
757aeb0f3e66c44;20W;PS;2.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 122;n/a;;-2;gut strukturierte LV
974e077c94dfc81;19S;UE;1.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 123;n/a;neutral;-2;sympathischer LV-Leiter
959353896063576;18W;PS;2.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 124;n/a;positiv;-2;gut strukturierte LV
757aeb0f3e66c44;19S;VO;2.0;3.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 125;n/a;;-2;gut strukturierte LV
959353896063576;18W;VC;2.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 126;n/a;positiv;-1;
a53e6669754588d;16S;PS;1.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 127;n/a;neutral;-2;
277f6a00a09fc6d;17S;UE;1.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 128;n/a;neutral;-1;auf Studierende eingegangen
959353896063576;20W;UE;1.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 129;n/a;positiv;-2;
757aeb0f3e66c44;17S;PS;1.0;3.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 130;n/a;;-2;
a53e6669754588d;17S;PS;2.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 131;n/a;;-2;sympathischer LV-Leiter
974e077c94dfc81;20W;UE;1.0;3.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 132;n/a;;-1;gut strukturierte LV
277f6a00a09fc6d;17S;UE;2.0;3.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 133;n/a;neutral;-2;sympathischer LV-Leiter
ca76fca5fb653f5;17S;VC;2.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 134;n/a;neutral;-1;sehr interessante Themen
757aeb0f3e66c44;17S;PS;1.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 135;n/a;;-2;auf Studierende eingegangen
757aeb0f3e66c44;17S;VC;1.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 136;n/a;negativ;-2;sympathischer LV-Leiter
959353896063576;16S;VO;2.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 137;n/a;positiv;-2;auf Studierende eingegangen
959353896063576;17S;VO;2.0;3.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 138;n/a;positiv;-1;
ca76fca5fb653f5;17S;UE;1.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 139;n/a;neutral;-2;gut strukturierte LV
a53e6669754588d;18W;PS;2.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 140;n/a;;-1;sympathischer LV-Leiter
959353896063576;19S;PS;1.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 141;n/a;neutral;-1;sympathischer LV-Leiter
757aeb0f3e66c44;19S;PS;2.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 142;n/a;negativ;-1;auf Studierende eingegangen
974e077c94dfc81;19S;PS;1.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 143;n/a;negativ;-2;sympathischer LV-Leiter
277f6a00a09fc6d;17S;VO;2.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 144;n/a;positiv;-1;sympathischer LV-Leiter
a53e6669754588d;18W;VC;1.0;3.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 145;n/a;positiv;-2;
277f6a00a09fc6d;17S;UE;2.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 146;n/a;;-1;gut strukturierte LV
959353896063576;18W;PS;2.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 147;n/a;neutral;-1;
a53e6669754588d;20W;UE;2.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 148;n/a;;-1;auf Studierende eingegangen
ca76fca5fb653f5;19S;VO;2.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 149;n/a;neutral;-1;sympathischer LV-Leiter
959353896063576;20W;UE;2.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 150;n/a;positiv;-1;sehr interessante Themen
a53e6669754588d;19S;UE;2.0;3.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 151;n/a;negativ;-1;gut strukturierte LV
277f6a00a09fc6d;20W;VC;1.0;3.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 152;n/a;;-1;
974e077c94dfc81;16S;VC;1.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 153;n/a;;-1;gut strukturierte LV
a53e6669754588d;17S;VO;2.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 154;n/a;positiv;-1;sehr interessante Themen
959353896063576;18W;VC;2.0;3.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 155;n/a;negativ;-1;
a53e6669754588d;19S;UE;2.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 156;n/a;neutral;-2;sympathischer LV-Leiter
974e077c94dfc81;18W;VO;1.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 157;n/a;negativ;-2;sympathischer LV-Leiter
277f6a00a09fc6d;16S;UE;1.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 158;n/a;negativ;-2;sympathischer LV-Leiter
974e077c94dfc81;18W;VC;2.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 159;n/a;;-1;sehr interessante Themen
974e077c94dfc81;16S;UE;2.0;3.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 160;n/a;negativ;-1;sehr interessante Themen
959353896063576;18W;VC;1.0;3.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 161;n/a;negativ;-1;sympathischer LV-Leiter
ca76fca5fb653f5;18W;UE;1.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 162;n/a;positiv;-1;
a53e6669754588d;16S;PS;2.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 163;n/a;neutral;-1;
959353896063576;17S;VC;1.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 164;n/a;positiv;-2;auf Studierende eingegangen
a53e6669754588d;18W;VC;1.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 165;n/a;neutral;-1;auf Studierende eingegangen
277f6a00a09fc6d;20W;PS;1.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 166;n/a;positiv;-1;gut strukturierte LV
974e077c94dfc81;19S;UE;2.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 167;n/a;;-1;auf Studierende eingegangen
959353896063576;16S;VO;2.0;3.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 168;n/a;negativ;-2;sehr interessante Themen
277f6a00a09fc6d;17S;VC;2.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 169;n/a;negativ;-2;sehr interessante Themen
277f6a00a09fc6d;18W;VO;1.0;3.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 170;n/a;positiv;-2;sympathischer LV-Leiter
277f6a00a09fc6d;19S;VO;2.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 171;n/a;negativ;-1;
277f6a00a09fc6d;16S;VC;1.0;3.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 172;n/a;positiv;-2;
959353896063576;20W;VC;2.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 173;n/a;neutral;-2;gut strukturierte LV
959353896063576;20W;PS;1.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 174;n/a;neutral;-1;auf Studierende eingegangen
ca76fca5fb653f5;16S;PS;2.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 175;n/a;neutral;-2;sympathischer LV-Leiter
757aeb0f3e66c44;18W;VC;2.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 176;n/a;negativ;-2;sehr interessante Themen
277f6a00a09fc6d;19S;VO;2.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 177;n/a;neutral;-2;gut strukturierte LV
974e077c94dfc81;16S;PS;1.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 178;n/a;positiv;-2;gut strukturierte LV
974e077c94dfc81;16S;PS;2.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 179;n/a;;-1;sympathischer LV-Leiter
757aeb0f3e66c44;16S;PS;2.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 180;n/a;neutral;-1;auf Studierende eingegangen
a53e6669754588d;16S;UE;2.0;3.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 181;n/a;;-1;gut strukturierte LV
a53e6669754588d;20W;UE;2.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 182;n/a;positiv;-1;auf Studierende eingegangen
959353896063576;18W;VC;2.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 183;n/a;positiv;-2;sehr interessante Themen
