Fragetext,Antwort,Sprache,Sentiment,Zahlenwert
Das ist der Fragetext 34,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 35,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 36,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 37,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 38,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 39,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 40,,unknown,not analyzed,
Das ist der Fragetext 41,,unknown,not analyzed,
Das ist der Fragetext 42,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 43,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 44,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 45,,unknown,not analyzed,
Das ist der Fragetext 46,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 47,,unknown,not analyzed,
Das ist der Fragetext 48,,unknown,not analyzed,
Das ist der Fragetext 49,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 50,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 51,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 52,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 53,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 54,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 55,,unknown,not analyzed,
Das ist der Fragetext 56,,unknown,not analyzed,
Das ist der Fragetext 57,,unknown,not analyzed,
Das ist der Fragetext 58,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 59,,unknown,not analyzed,
Das ist der Fragetext 60,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 61,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 62,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 63,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 64,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 65,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 66,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 67,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 68,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 69,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 70,,unknown,not analyzed,
Das ist der Fragetext 71,,unknown,not analyzed,
Das ist der Fragetext 72,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 73,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 74,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 75,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 76,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 77,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 78,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 79,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 80,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 81,,unknown,not analyzed,
Das ist der Fragetext 82,,unknown,not analyzed,
Das ist der Fragetext 83,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 84,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 85,,unknown,not analyzed,
Das ist der Fragetext 86,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 87,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 88,,unknown,not analyzed,
Das ist der Fragetext 89,,unknown,not analyzed,
Das ist der Fragetext 90,,unknown,not analyzed,
Das ist der Fragetext 91,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 92,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 93,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 94,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 95,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 96,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 97,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 98,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 99,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 100,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 101,,unknown,not analyzed,
Das ist der Fragetext 102,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 103,,unknown,not analyzed,
Das ist der Fragetext 104,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 105,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 106,,unknown,not analyzed,
Das ist der Fragetext 107,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 108,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 109,,unknown,not analyzed,
Das ist der Fragetext 110,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 111,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 112,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 113,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 114,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 115,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 116,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 117,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 118,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 119,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 120,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 121,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 122,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 123,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 124,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 125,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 126,,unknown,not analyzed,
Das ist der Fragetext 127,,unknown,not analyzed,
Das ist der Fragetext 128,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 129,,unknown,not analyzed,
Das ist der Fragetext 130,,unknown,not analyzed,
Das ist der Fragetext 131,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 132,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 133,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 134,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 135,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 136,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 137,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 138,,unknown,not analyzed,
Das ist der Fragetext 139,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 140,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 141,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 142,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 143,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 144,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 145,,unknown,not analyzed,
Das ist der Fragetext 146,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 147,,unknown,not analyzed,
Das ist der Fragetext 148,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 149,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 150,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 151,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 152,,unknown,not analyzed,
Das ist der Fragetext 153,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 154,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 155,,unknown,not analyzed,
Das ist der Fragetext 156,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 157,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 158,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 159,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 160,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 161,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 162,,unknown,not analyzed,
Das ist der Fragetext 163,,unknown,not analyzed,
Das ist der Fragetext 164,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 165,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 166,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 167,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 168,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 169,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 170,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 171,,unknown,not analyzed,
Das ist der Fragetext 172,,unknown,not analyzed,
Das ist der Fragetext 173,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 174,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 175,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 176,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 177,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 178,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 179,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 180,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 181,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 182,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 183,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 184,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 185,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 186,,unknown,not analyzed,
Das ist der Fragetext 187,,unknown,not analyzed,
Das ist der Fragetext 188,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 189,,unknown,not analyzed,
Das ist der Fragetext 190,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 191,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 192,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 193,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 194,,unknown,not analyzed,
Das ist der Fragetext 195,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 196,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 197,,unknown,not analyzed,
Das ist der Fragetext 198,,unknown,not analyzed,
Das ist der Fragetext 199,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 200,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 201,,unknown,not analyzed,
Das ist der Fragetext 202,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 203,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 204,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 205,,unknown,not analyzed,
Das ist der Fragetext 206,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 207,,unknown,not analyzed,
Das ist der Fragetext 208,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 209,,unknown,not analyzed,
Das ist der Fragetext 210,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 211,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 212,,unknown,not analyzed,
Das ist der Fragetext 213,,unknown,not analyzed,
Das ist der Fragetext 214,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 215,,unknown,not analyzed,
Das ist der Fragetext 216,,unknown,not analyzed,
Das ist der Fragetext 217,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 218,,unknown,not analyzed,
Das ist der Fragetext 219,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 220,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 221,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 222,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 223,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 224,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 225,,unknown,not analyzed,
Das ist der Fragetext 226,,unknown,not analyzed,
Das ist der Fragetext 227,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 228,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 229,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 230,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 231,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 232,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 233,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 234,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 235,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 236,,unknown,not analyzed,
Das ist der Fragetext 237,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 238,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 239,,unknown,not analyzed,
Das ist der Fragetext 240,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 241,,unknown,not analyzed,
Das ist der Fragetext 242,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 243,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 244,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 245,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 246,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 247,,unknown,not analyzed,
Das ist der Fragetext 248,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 249,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 250,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 251,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 252,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 253,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 254,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 255,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 256,,unknown,not analyzed,
Das ist der Fragetext 257,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 258,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 259,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 260,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 261,,unknown,not analyzed,
Das ist der Fragetext 262,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 263,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 264,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 265,,unknown,not analyzed,
Das ist der Fragetext 266,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 267,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 268,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 269,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 270,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 271,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 272,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 273,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 274,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 275,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 276,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 277,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 278,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 279,,unknown,not analyzed,
Das ist der Fragetext 280,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 281,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 282,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 283,,unknown,not analyzed,
Das ist der Fragetext 284,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 285,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 286,,unknown,not analyzed,
Das ist der Fragetext 287,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 288,,unknown,not analyzed,
Das ist der Fragetext 289,,unknown,not analyzed,
Das ist der Fragetext 290,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 291,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 292,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 293,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 294,,unknown,not analyzed,
Das ist der Fragetext 295,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 296,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 297,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 298,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 299,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 300,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 301,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 302,,unknown,not analyzed,
Das ist der Fragetext 303,,unknown,not analyzed,
Das ist der Fragetext 304,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 305,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 306,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 307,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 308,,unknown,not analyzed,
Das ist der Fragetext 309,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 310,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 311,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 312,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 313,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 314,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 315,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 316,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 317,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 318,,unknown,not analyzed,
Das ist der Fragetext 319,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 320,,unknown,not analyzed,
Das ist der Fragetext 321,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 322,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 323,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 324,,unknown,not analyzed,
Das ist der Fragetext 325,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 326,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 327,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 328,,unknown,not analyzed,
Das ist der Fragetext 329,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 330,,unknown,not analyzed,
Das ist der Fragetext 331,,unknown,not analyzed,
Das ist der Fragetext 332,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 333,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 334,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 335,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 336,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 337,,unknown,not analyzed,
Das ist der Fragetext 338,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 339,,unknown,not analyzed,
Das ist der Fragetext 340,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 341,,unknown,not analyzed,
Das ist der Fragetext 342,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 343,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 344,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 345,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 346,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 347,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 348,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 349,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 350,,unknown,not analyzed,
Das ist der Fragetext 351,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 352,,unknown,not analyzed,
Das ist der Fragetext 353,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 354,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 355,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 356,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 357,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 358,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 359,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 360,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 361,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 362,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 363,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 364,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 365,,unknown,not analyzed,
Das ist der Fragetext 366,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 367,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 368,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 369,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 370,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 371,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 372,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 373,,unknown,not analyzed,
Das ist der Fragetext 374,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 375,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 376,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 377,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 378,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 379,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 380,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 381,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 382,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 383,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 384,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 385,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 386,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 387,,unknown,not analyzed,
Das ist der Fragetext 388,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 389,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 390,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 391,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 392,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 393,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 394,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 395,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 396,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 397,,unknown,not analyzed,
Das ist der Fragetext 398,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 399,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 400,gut strukturierte LV,no,not analyzed,
Das ist der Fragetext 401,auf Studierende eingegangen,de,negative,-0.9036375433206558
Das ist der Fragetext 402,sehr interessante Themen,de,positive,0.9895781832747161
Das ist der Fragetext 403,sympathischer LV-Leiter,de,positive,0.9587876051664352
Das ist der Fragetext 404,,unknown,not analyzed,
Das ist der Fragetext 405,auf Studierende eingegangen,de,negative,-0.9036375433206558
